"cohort","n","gen1","outcome","prob","se"
"Rural",23,"C.gen1","M.gen2",0,0
"Town",11,"C.gen1","M.gen2",0,0
"Urban",28,"C.gen1","M.gen2",0,0
"Rural",23,"C.gen1","B.gen2",0.260869565217391,0.0915605371517
"Town",11,"C.gen1","B.gen2",0.181818181818182,0.116291299830333
"Urban",28,"C.gen1","B.gen2",0.0714285714285714,0.0486703674192319
"Rural",23,"C.gen1","C.gen2",0.739130434782609,0.0915605371517
"Town",11,"C.gen1","C.gen2",0.818181818181818,0.116291299830333
"Urban",28,"C.gen1","C.gen2",0.928571428571429,0.0486703674192318
