"cohort","n","gen1","outcome","prob","se"
"1920",0,"C.gen1","M.gen2",NA,NA
"1930",1,"C.gen1","M.gen2",0,0
"1940",0,"C.gen1","M.gen2",NA,NA
"1950",4,"C.gen1","M.gen2",0,0
"1960",6,"C.gen1","M.gen2",0,0
"1970",6,"C.gen1","M.gen2",0,0
"1980",8,"C.gen1","M.gen2",0,0
"1990",39,"C.gen1","M.gen2",0,0
"2000",1,"C.gen1","M.gen2",0,0
"1920",0,"C.gen1","B.gen2",NA,NA
"1930",1,"C.gen1","B.gen2",0,0
"1940",0,"C.gen1","B.gen2",NA,NA
"1950",4,"C.gen1","B.gen2",0.25,0.21650635094611
"1960",6,"C.gen1","B.gen2",0,0
"1970",6,"C.gen1","B.gen2",0.166666666666667,0.152145154862546
"1980",8,"C.gen1","B.gen2",0.125,0.116926793336686
"1990",39,"C.gen1","B.gen2",0.179487179487179,0.0614507373861823
"2000",1,"C.gen1","B.gen2",0,0
"1920",0,"C.gen1","C.gen2",NA,NA
"1930",1,"C.gen1","C.gen2",1,0
"1940",0,"C.gen1","C.gen2",NA,NA
"1950",4,"C.gen1","C.gen2",0.75,0.21650635094611
"1960",6,"C.gen1","C.gen2",1,0
"1970",6,"C.gen1","C.gen2",0.833333333333333,0.152145154862546
"1980",8,"C.gen1","C.gen2",0.875,0.116926793336686
"1990",39,"C.gen1","C.gen2",0.82051282051282,0.0614507373861824
"2000",1,"C.gen1","C.gen2",1,0
