"cohort","n","gen2","outcome","prob","se"
"1920",0,"B.gen2","M.gen1",NA,NA
"1930",1,"B.gen2","M.gen1",1,0
"1940",1,"B.gen2","M.gen1",1,0
"1950",16,"B.gen2","M.gen1",0.25,0.108253175473055
"1960",58,"B.gen2","M.gen1",0.258620689655172,0.0574960311280124
"1970",92,"B.gen2","M.gen1",0.260869565217391,0.04578026857585
"1980",65,"B.gen2","M.gen1",0.107692307692308,0.0384497023207869
"1990",190,"B.gen2","M.gen1",0.105263157894737,0.0222643006065486
"2000",34,"B.gen2","M.gen1",0.147058823529412,0.0607387186212524
"1920",0,"B.gen2","B.gen1",NA,NA
"1930",1,"B.gen2","B.gen1",0,0
"1940",1,"B.gen2","B.gen1",0,0
"1950",16,"B.gen2","B.gen1",0.6875,0.11587810136087
"1960",58,"B.gen2","B.gen1",0.741379310344828,0.0574960311280124
"1970",92,"B.gen2","B.gen1",0.728260869565217,0.0463794575292782
"1980",65,"B.gen2","B.gen1",0.876923076923077,0.0407485712978127
"1990",190,"B.gen2","B.gen1",0.857894736842105,0.0253305886794187
"2000",34,"B.gen2","B.gen1",0.852941176470588,0.0607387186212525
"1920",0,"B.gen2","C.gen1",NA,NA
"1930",1,"B.gen2","C.gen1",0,0
"1940",1,"B.gen2","C.gen1",0,0
"1950",16,"B.gen2","C.gen1",0.0625,0.0605153647844909
"1960",58,"B.gen2","C.gen1",0,0
"1970",92,"B.gen2","C.gen1",0.0108695652173913,0.0108103300885613
"1980",65,"B.gen2","C.gen1",0.0153846153846154,0.0152658134879026
"1990",190,"B.gen2","C.gen1",0.0368421052631579,0.0136660864422494
"2000",34,"B.gen2","C.gen1",0,0
