"cohort","n","gen1","outcome","prob","se"
"Rural",274,"B.gen1","M.gen2",0.0218978102189781,0.00884132139251047
"Town",85,"B.gen1","M.gen2",0.0117647058823529,0.011695296982299
"Urban",84,"B.gen1","M.gen2",0,0
"Rural",274,"B.gen1","B.gen2",0.930656934306569,0.0153469135409164
"Town",85,"B.gen1","B.gen2",0.858823529411765,0.0377679719184023
"Urban",84,"B.gen1","B.gen2",0.44047619047619,0.0541665109264911
"Rural",274,"B.gen1","C.gen2",0.0474452554744526,0.0128429882610054
"Town",85,"B.gen1","C.gen2",0.129411764705882,0.0364069094705276
"Urban",84,"B.gen1","C.gen2",0.55952380952381,0.0541665109264911
