"","M.elder","B.elder","C.elder"
"M.self",0.611111111111111,0.388888888888889,0
"B.self",0.166666666666667,0.80365296803653,0.0296803652968037
"C.self",0.00775193798449612,0.418604651162791,0.573643410852713
