"cohort","n","gen2","outcome","prob","se"
"Rural",30,"C.gen2","M.gen1",0,0
"Town",20,"C.gen2","M.gen1",0,0
"Urban",73,"C.gen2","M.gen1",0,0
"Rural",30,"C.gen2","B.gen1",0.433333333333333,0.0904720132703213
"Town",20,"C.gen2","B.gen1",0.55,0.111242977306435
"Urban",73,"C.gen2","B.gen1",0.643835616438356,0.0560468633956476
"Rural",30,"C.gen2","C.gen1",0.566666666666667,0.0904720132703213
"Town",20,"C.gen2","C.gen1",0.45,0.111242977306435
"Urban",73,"C.gen2","C.gen1",0.356164383561644,0.0560468633956476
